"행정구역","2026년06월_계_총인구수","2026년06월_계_연령구간인구수","2026년06월_계_0세","2026년06월_계_1세","2026년06월_계_2세","2026년06월_계_3세","2026년06월_계_4세","2026년06월_계_5세","2026년06월_남_총인구수","2026년06월_남_연령구간인구수","2026년06월_남_0세","2026년06월_남_1세","2026년06월_남_2세","2026년06월_남_3세","2026년06월_남_4세","2026년06월_남_5세","2026년06월_여_총인구수","2026년06월_여_연령구간인구수","2026년06월_여_0세","2026년06월_여_1세","2026년06월_여_2세","2026년06월_여_3세","2026년06월_여_4세","2026년06월_여_5세"
"인천광역시 남동구 만수6동(2820058300)","21,627","301","45","43","49","48","50","66","10,372","142","21","23","22","25","26","25","11,255","159","24","20","27","23","24","41"
"인천광역시 남동구 장수서창동(2820065000)","18,118","358","44","65","46","60","70","73","9,057","180","22","39","28","32","34","25","9,061","178","22","26","18","28","36","48"
"인천광역시 남동구 서창2동(2820065500)","37,307","1,329","187","186","211","227","243","275","18,493","690","97","95","100","129","120","149","18,814","639","90","91","111","98","123","126"
"인천광역시 남동구 남촌도림동(2820066000)","18,594","293","38","54","44","42","57","58","9,478","148","19","31","18","22","27","31","9,116","145","19","23","26","20","30","27"
"인천광역시 남동구 논현1동(2820069000)","30,990","829","140","138","118","123","166","144","15,516","407","62","72","60","63","81","69","15,474","422","78","66","58","60","85","75"
"인천광역시 남동구 논현2동(2820070000)","30,616","538","81","85","84","88","95","105","15,423","266","38","46","43","44","44","51","15,193","272","43","39","41","44","51","54"
"인천광역시 남동구 논현고잔동(2820071000)","39,098","1,268","190","208","203","208","240","219","19,334","644","106","106","101","102","124","105","19,764","624","84","102","102","106","116","114"
"인천광역시 부평구 (2823700000)","488,191","14,426","2,874","2,527","2,252","2,245","2,253","2,275","239,577","7,486","1,472","1,325","1,207","1,147","1,154","1,181","248,614","6,940","1,402","1,202","1,045","1,098","1,099","1,094"
"인천광역시 부평구 부평1동(2823751000)","34,433","715","167","106","112","107","117","106","16,550","360","92","55","59","52","56","46","17,883","355","75","51","53","55","61","60"
"인천광역시 부평구 부평2동(2823752000)","16,750","566","145","110","87","83","73","68","8,240","299","82","55","51","45","35","31","8,510","267","63","55","36","38","38","37"
"인천광역시 부평구 부평3동(2823753000)","14,210","536","128","94","98","82","63","71","7,028","286","68","55","57","39","28","39","7,182","250","60","39","41","43","35","32"
"인천광역시 부평구 부평4동(2823754000)","32,903","678","140","130","99","91","98","120","16,130","341","72","68","51","35","50","65","16,773","337","68","62","48","56","48","55"
"인천광역시 부평구 부평5동(2823755000)","32,878","1,116","211","191","144","175","194","201","16,144","575","103","99","80","78","104","111","16,734","541","108","92","64","97","90","90"
"인천광역시 부평구 부평6동(2823756000)","19,118","802","154","133","128","124","136","127","9,423","420","68","76","76","63","78","59","9,695","382","86","57","52","61","58","68"
"인천광역시 부평구 산곡1동(2823757000)","14,167","680","118","127","105","112","112","106","6,960","375","60","72","66","61","58","58","7,207","305","58","55","39","51","54","48"
"인천광역시 부평구 산곡2동(2823758000)","28,506","654","108","110","109","87","122","118","13,941","326","51","52","58","44","63","58","14,565","328","57","58","51","43","59","60"
"인천광역시 부평구 산곡3동(2823758100)","19,591","309","57","63","51","47","54","37","9,431","156","36","28","25","23","25","19","10,160","153","21","35","26","24","29","18"
"인천광역시 부평구 산곡4동(2823758200)","16,132","349","65","45","56","61","55","67","7,655","178","32","25","28","31","33","29","8,477","171","33","20","28","30","22","38"
"인천광역시 부평구 청천1동(2823759100)","22,713","1,772","308","292","285","304","296","287","11,463","903","142","159","152","153","154","143","11,250","869","166","133","133","151","142","144"
"인천광역시 부평구 청천2동(2823759200)","32,609","1,139","227","199","177","195","158","183","16,323","586","104","92","99","106","83","102","16,286","553","123","107","78","89","75","81"
