"행정구역","2026년06월_계_총인구수","2026년06월_계_연령구간인구수","2026년06월_계_0세","2026년06월_계_1세","2026년06월_계_2세","2026년06월_계_3세","2026년06월_계_4세","2026년06월_계_5세","2026년06월_남_총인구수","2026년06월_남_연령구간인구수","2026년06월_남_0세","2026년06월_남_1세","2026년06월_남_2세","2026년06월_남_3세","2026년06월_남_4세","2026년06월_남_5세","2026년06월_여_총인구수","2026년06월_여_연령구간인구수","2026년06월_여_0세","2026년06월_여_1세","2026년06월_여_2세","2026년06월_여_3세","2026년06월_여_4세","2026년06월_여_5세"
"경기도 안양시 만안구 안양5동(4117155000)","14,560","719","139","113","99","116","125","127","7,194","375","63","67","56","57","57","75","7,366","344","76","46","43","59","68","52"
"경기도 안양시 만안구 안양6동(4117156000)","27,170","1,226","292","232","167","178","179","178","13,647","592","158","124","77","84","72","77","13,523","634","134","108","90","94","107","101"
"경기도 안양시 만안구 안양7동(4117157000)","14,611","797","154","157","133","114","125","114","7,200","416","78","86","66","60","62","64","7,411","381","76","71","67","54","63","50"
"경기도 안양시 만안구 안양8동(4117158000)","7,804","114","30","27","8","14","14","21","4,021","55","16","12","5","7","7","8","3,783","59","14","15","3","7","7","13"
"경기도 안양시 만안구 안양9동(4117158100)","15,493","268","51","41","45","42","42","47","7,624","142","27","22","24","28","20","21","7,869","126","24","19","21","14","22","26"
"경기도 안양시 만안구 석수1동(4117159000)","18,106","581","127","104","100","94","72","84","8,825","300","72","54","49","44","34","47","9,281","281","55","50","51","50","38","37"
"경기도 안양시 만안구 석수2동(4117160000)","29,063","809","185","138","124","137","127","98","14,503","419","106","72","60","70","63","48","14,560","390","79","66","64","67","64","50"
"경기도 안양시 만안구 충훈동(4117161100)","11,557","328","66","61","59","45","40","57","5,883","153","30","26","27","19","24","27","5,674","175","36","35","32","26","16","30"
"경기도 안양시 만안구 박달동(4117164000)","13,220","161","26","36","19","30","25","25","6,619","82","12","18","11","15","13","13","6,601","79","14","18","8","15","12","12"
"경기도 안양시 만안구 호현동(4117165000)","19,892","723","122","145","100","113","121","122","9,884","382","59","65","61","72","56","69","10,008","341","63","80","39","41","65","53"
"경기도 안양시 동안구 (4117300000)","328,594","12,882","2,562","2,248","1,945","2,015","2,003","2,109","160,734","6,666","1,346","1,154","989","1,072","1,012","1,093","167,860","6,216","1,216","1,094","956","943","991","1,016"
"경기도 안양시 동안구 비산1동(4117351000)","28,103","1,450","261","245","225","243","236","240","13,612","743","152","114","115","123","117","122","14,491","707","109","131","110","120","119","118"
"경기도 안양시 동안구 비산2동(4117352000)","12,899","648","122","106","104","96","108","112","6,309","349","50","65","53","56","58","67","6,590","299","72","41","51","40","50","45"
"경기도 안양시 동안구 비산3동(4117353000)","17,839","787","135","153","112","124","134","129","8,865","395","71","81","53","69","68","53","8,974","392","64","72","59","55","66","76"
"경기도 안양시 동안구 부흥동(4117354000)","15,778","516","72","97","80","92","77","98","7,547","265","34","50","42","54","33","52","8,231","251","38","47","38","38","44","46"
"경기도 안양시 동안구 달안동(4117354600)","9,346","250","73","53","36","34","22","32","4,160","133","37","21","23","21","13","18","5,186","117","36","32","13","13","9","14"
"경기도 안양시 동안구 관양동(4117355200)","31,816","626","119","83","103","107","108","106","15,554","322","67","41","47","53","61","53","16,262","304","52","42","56","54","47","53"
"경기도 안양시 동안구 인덕원동(4117355900)","17,902","501","111","87","88","65","80","70","9,194","264","60","39","52","34","38","41","8,708","237","51","48","36","31","42","29"
"경기도 안양시 동안구 부림동(4117356600)","26,430","1,115","315","235","146","156","139","124","12,765","606","156","124","86","91","75","74","13,665","509","159","111","60","65","64","50"
"경기도 안양시 동안구 평촌동(4117357000)","14,764","585","119","108","91","81","92","94","7,246","301","67","55","39","46","43","51","7,518","284","52","53","52","35","49","43"
"경기도 안양시 동안구 평안동(4117357600)","22,269","920","170","137","146","151","149","167","10,887","470","92","69","74","84","71","80","11,382","450","78","68","72","67","78","87"
"경기도 안양시 동안구 귀인동(4117357800)","15,937","273","24","34","21","45","74","75","7,882","144","11","21","11","20","45","36","8,055","129","13","13","10","25","29","39"
"경기도 안양시 동안구 호계1동(4117358000)","27,070","1,823","341","313","281","295","283","310","13,494","930","190","156","151","143","140","150","13,576","893","151","157","130","152","143","160"
"경기도 안양시 동안구 호계2동(4117359000)","27,199","1,277","267","226","206","201","186","191","13,218","678","137","129","101","116","96","99","13,981","599","130","97","105","85","90","92"
"경기도 안양시 동안구 호계3동(4117360000)","23,894","1,093","242","202","161","173","149","166","11,944","553","128","97","70","86","78","94","11,950","540","114","105","91","87","71","72"
"경기도 안양시 동안구 범계동(4117361000)","14,892","408","96","70","57","56","62","67","7,162","191","45","40","23","25","24","34","7,730","217","51","30","34","31","38","33"
"경기도 안양시 동안구 신촌동(4117362000)","12,186","429","73","70","63","68","70","85","5,900","229","37","37","37","36","36","46","6,286","200","36","33","26","32","34","39"
"경기도 안양시 동안구 갈산동(4117363000)","10,270","181","22","29","25","28","34","43","4,995","93","12","15","12","15","16","23","5,275","88","10","14","13","13","18","20"
"경기도 부천시 (4119000000)","755,453","20,288","3,438","3,251","3,126","3,248","3,512","3,713","371,693","10,346","1,751","1,666","1,591","1,635","1,776","1,927","383,760","9,942","1,687","1,585","1,535","1,613","1,736","1,786"
"경기도 부천시 원미구 (4119200000)","382,339","10,423","1,844","1,664","1,609","1,654","1,778","1,874","187,207","5,255","930","863","795","839","875","953","195,132","5,168","914","801","814","815","903","921"
"경기도 부천시 원미구 심곡1동(4119251000)","11,921","231","33","36","25","41","39","57","6,129","112","13","15","12","21","19","32","5,792","119","20","21","13","20","20","25"
"경기도 부천시 원미구 심곡2동(4119252000)","18,229","470","86","71","78","85","77","73","9,494","240","40","40","48","33","44","35","8,735","230","46","31","30","52","33","38"
"경기도 부천시 원미구 심곡3동(4119253000)","10,570","165","22","27","31","29","31","25","5,389","80","13","14","13","16","13","11","5,181","85","9","13","18","13","18","14"
"경기도 부천시 원미구 원미1동(4119254000)","16,171","391","72","54","59","65","66","75","8,102","208","39","31","31","35","36","36","8,069","183","33","23","28","30","30","39"
"경기도 부천시 원미구 원미2동(4119255000)","10,965","157","24","18","22","28","24","41","5,453","64","10","5","11","8","12","18","5,512","93","14","13","11","20","12","23"
"경기도 부천시 원미구 소사동(4119256000)","5,763","65","16","10","16","10","6","7","2,753","33","10","4","6","7","2","4","3,010","32","6","6","10","3","4","3"
"경기도 부천시 원미구 역곡1동(4119257000)","15,976","291","39","53","56","42","56","45","7,774","143","15","27","29","22","26","24","8,202","148","24","26","27","20","30","21"
"경기도 부천시 원미구 역곡2동(4119258000)","16,220","244","35","46","38","40","43","42","7,911","128","17","27","21","25","21","17","8,309","116","18","19","17","15","22","25"
"경기도 부천시 원미구 춘의동(4119259000)","13,324","276","45","41","49","52","42","47","6,652","138","22","24","23","27","19","23","6,672","138","23","17","26","25","23","24"
"경기도 부천시 원미구 도당동(4119260000)","19,630","331","56","45","45","54","56","75","9,955","162","26","17","21","30","29","39","9,675","169","30","28","24","24","27","36"
"경기도 부천시 원미구 약대동(4119261000)","16,912","629","90","110","98","103","106","122","8,454","329","45","64","51","54","53","62","8,458","300","45","46","47","49","53","60"
"경기도 부천시 원미구 중동(4119262000)","21,046","613","92","99","89","107","95","131","10,296","317","43","55","49","48","55","67","10,750","296","49","44","40","59","40","64"
"경기도 부천시 원미구 중1동(4119263000)","40,376","1,256","214","203","206","194","225","214","19,537","648","109","100","110","104","109","116","20,839","608","105","103","96","90","116","98"
"경기도 부천시 원미구 중2동(4119264000)","29,125","850","135","129","132","136","157","161","14,039","409","68","69","57","71","73","71","15,086","441","67","60","75","65","84","90"
"경기도 부천시 원미구 중3동(4119265000)","21,529","633","132","105","98","86","123","89","10,050","322","70","54","39","45","56","58","11,479","311","62","51","59","41","67","31"
"경기도 부천시 원미구 중4동(4119266000)","16,480","506","136","94","59","74","69","74","7,496","240","69","43","25","35","27","41","8,984","266","67","51","34","39","42","33"
"경기도 부천시 원미구 상동(4119267000)","17,345","327","68","47","37","52","58","65","8,537","170","30","26","18","29","26","41","8,808","157","38","21","19","23","32","24"
"경기도 부천시 원미구 상1동(4119268000)","23,282","855","171","138","137","132","134","143","11,153","427","80","77","71","68","60","71","12,129","428","91","61","66","64","74","72"
"경기도 부천시 원미구 상2동(4119269000)","27,525","1,220","260","211","180","176","201","192","13,378","601","146","102","83","87","101","82","14,147","619","114","109","97","89","100","110"
"경기도 부천시 원미구 상3동(4119270000)","29,950","913","118","127","154","148","170","196","14,655","484","65","69","77","74","94","105","15,295","429","53","58","77","74","76","91"
"경기도 부천시 소사구 (4119400000)","224,202","6,955","1,126","1,109","1,074","1,119","1,243","1,284","109,566","3,589","584","545","561","556","647","696","114,636","3,366","542","564","513","563","596","588"
"경기도 부천시 소사구 심곡본1동(4119451000)","15,037","247","33","37","24","48","45","60","7,551","137","20","16","11","25","27","38","7,486","110","13","21","13","23","18","22"
"경기도 부천시 소사구 심곡본동(4119452000)","13,845","192","36","25","29","27","27","48","6,767","102","20","11","17","16","16","22","7,078","90","16","14","12","11","11","26"
"경기도 부천시 소사구 소사본동(4119453000)","25,844","953","178","151","160","144","166","154","12,765","508","88","88","79","72","92","89","13,079","445","90","63","81","72","74","65"
"경기도 부천시 소사구 소사본1동(4119454000)","27,169","681","112","106","98","111","133","121","13,193","365","61","56","58","60","68","62","13,976","316","51","50","40","51","65","59"
"경기도 부천시 소사구 범박동(4119455000)","28,267","1,545","240","249","227","268","269","292","13,801","794","131","110","116","137","137","163","14,466","751","109","139","111","131","132","129"
"경기도 부천시 소사구 옥길동(4119456000)","30,935","1,280","154","198","201","210","250","267","15,232","666","83","105","103","105","128","142","15,703","614","71","93","98","105","122","125"
"경기도 부천시 소사구 괴안동(4119457000)","18,073","380","67","62","57","65","68","61","8,765","194","30","32","27","32","37","36","9,308","186","37","30","30","33","31","25"
"경기도 부천시 소사구 역곡3동(4119458000)","21,818","655","138","108","110","87","115","97","10,456","334","73","52","49","50","59","51","11,362","321","65","56","61","37","56","46"
"경기도 부천시 소사구 송내1동(4119459000)","19,655","510","88","93","87","79","80","83","9,504","252","44","37","49","29","46","47","10,151","258","44","56","38","50","34","36"
"경기도 부천시 소사구 송내2동(4119460000)","23,559","512","80","80","81","80","90","101","11,532","237","34","38","52","30","37","46","12,027","275","46","42","29","50","53","55"
"경기도 부천시 오정구 (4119600000)","148,912","2,910","468","478","443","475","491","555","74,920","1,502","237","258","235","240","254","278","73,992","1,408","231","220","208","235","237","277"
"경기도 부천시 오정구 성곡동(4119651000)","36,983","746","112","111","130","131","133","129","18,348","368","53","64","72","68","55","56","18,635","378","59","47","58","63","78","73"
"경기도 부천시 오정구 원종1동(4119652000)","23,795","699","126","133","103","108","110","119","11,852","386","70","77","58","57","64","60","11,943","313","56","56","45","51","46","59"
"경기도 부천시 오정구 원종2동(4119653000)","17,068","242","48","56","25","38","32","43","8,465","124","24","23","16","21","17","23","8,603","118","24","33","9","17","15","20"
"경기도 부천시 오정구 고강본동(4119654000)","24,571","349","51","47","65","47","59","80","12,352","189","30","22","40","23","35","39","12,219","160","21","25","25","24","24","41"
"경기도 부천시 오정구 고강1동(4119655000)","11,800","175","30","29","23","29","25","39","5,802","82","15","15","6","12","14","20","5,998","93","15","14","17","17","11","19"
"경기도 부천시 오정구 오정동(4119656000)","18,326","392","58","61","51","74","67","81","9,506","196","20","38","20","38","37","43","8,820","196","38","23","31","36","30","38"
"경기도 부천시 오정구 신흥동(4119657000)","16,369","307","43","41","46","48","65","64","8,595","157","25","19","23","21","32","37","7,774","150","18","22","23","27","33","27"
"경기도 광명시 (4121000000)","303,666","10,963","2,247","1,919","1,706","1,673","1,669","1,749","148,648","5,694","1,160","1,016","907","860","866","885","155,018","5,269","1,087","903","799","813","803","864"
"경기도 광명시 광명1동(4121051000)","16,103","1,101","272","208","170","148","162","141","7,872","586","138","123","98","76","81","70","8,231","515","134","85","72","72","81","71"
"경기도 광명시 광명2동(4121052000)","7,052","284","61","49","40","45","40","49","3,416","145","31","26","20","22","21","25","3,636","139","30","23","20","23","19","24"
"경기도 광명시 광명3동(4121054000)","8,886","112","19","24","16","21","9","23","4,294","58","10","17","7","8","6","10","4,592","54","9","7","9","13","3","13"
"경기도 광명시 광명4동(4121055000)","7,122","170","28","34","24","35","21","28","3,491","80","14","19","12","14","7","14","3,631","90","14","15","12","21","14","14"
"경기도 광명시 광명5동(4121056000)","11,276","258","53","40","44","35","34","52","5,498","137","30","23","22","23","15","24","5,778","121","23","17","22","12","19","28"
"경기도 광명시 광명6동(4121057000)","12,410","447","84","63","71","77","79","73","6,035","228","39","31","36","33","48","41","6,375","219","45","32","35","44","31","32"
"경기도 광명시 광명7동(4121058000)","25,172","1,114","254","209","192","169","152","138","12,324","569","123","101","103","91","77","74","12,848","545","131","108","89","78","75","64"
"경기도 광명시 철산1동(4121059000)","9,888","370","80","92","69","49","34","46","4,906","176","39","50","33","22","14","18","4,982","194","41","42","36","27","20","28"
"경기도 광명시 철산2동(4121060000)","19,111","1,109","208","208","167","174","173","179","9,692","589","111","111","92","92","90","93","9,419","520","97","97","75","82","83","86"
"경기도 광명시 철산3동(4121061000)","35,116","1,270","236","205","198","191","198","242","17,087","663","123","113","102","105","103","117","18,029","607","113","92","96","86","95","125"
"경기도 광명시 철산4동(4121062000)","8,877","369","97","73","56","53","49","41","4,345","192","54","33","32","25","24","24","4,532","177","43","40","24","28","25","17"
"경기도 광명시 하안1동(4121063100)","24,128","632","104","73","96","105","135","119","12,033","328","60","38","49","49","71","61","12,095","304","44","35","47","56","64","58"
"경기도 광명시 하안2동(4121063200)","12,375","360","97","61","52","53","52","45","5,770","173","44","30","24","25","25","25","6,605","187","53","31","28","28","27","20"
"경기도 광명시 하안3동(4121063300)","17,929","569","115","112","87","86","79","90","8,479","294","60","56","39","48","42","49","9,450","275","55","56","48","38","37","41"
"경기도 광명시 하안4동(4121063400)","11,175","358","91","57","52","57","42","59","5,389","183","49","27","36","23","21","27","5,786","175","42","30","16","34","21","32"
"경기도 광명시 소하1동(4121064000)","28,933","802","105","122","121","134","159","161","13,979","422","57","66","71","70","83","75","14,954","380","48","56","50","64","76","86"
"경기도 광명시 소하2동(4121065000)","25,401","588","134","103","82","91","75","103","12,590","299","73","45","43","45","41","52","12,811","289","61","58","39","46","34","51"
"경기도 광명시 일직동(4121065500)","21,094","1,032","209","180","166","148","174","155","10,539","562","105","105","86","87","96","83","10,555","470","104","75","80","61","78","72"
"경기도 광명시 학온동(4121066000)","1,618","18","0","6","3","2","2","5","909","10","0","2","2","2","1","3","709","8","0","4","1","0","1","2"
"경기도 평택시 (4122000000)","619,670","26,022","4,652","4,448","4,074","4,168","4,266","4,414","325,937","13,285","2,401","2,306","2,086","2,133","2,157","2,202","293,733","12,737","2,251","2,142","1,988","2,035","2,109","2,212"
"경기도 평택시 팽성읍(4122025000)","26,999","590","83","99","86","102","85","135","14,160","295","42","60","40","50","41","62","12,839","295","41","39","46","52","44","73"
"경기도 평택시 안중읍(4122025300)","40,712","951","173","159","141","147","157","174","21,299","472","89","82","71","69","83","78","19,413","479","84","77","70","78","74","96"
"경기도 평택시 포승읍(4122025600)","21,171","411","85","77","56","56","72","65","13,221","187","41","30","27","26","33","30","7,950","224","44","47","29","30","39","35"
"경기도 평택시 청북읍(4122025900)","25,892","907","129","138","147","147","163","183","14,042","486","68","82","76","80","87","93","11,850","421","61","56","71","67","76","90"
"경기도 평택시 진위면(4122031000)","10,639","120","15","18","17","22","21","27","5,942","60","10","7","9","14","9","11","4,697","60","5","11","8","8","12","16"
"경기도 평택시 서탄면(4122032000)","3,300","37","4","7","6","4","4","12","1,840","23","1","5","2","4","3","8","1,460","14","3","2","4","0","1","4"
"경기도 평택시 고덕면(4122033000)","12,812","454","95","88","80","74","63","54","7,052","236","52","47","37","39","31","30","5,760","218","43","41","43","35","32","24"
"경기도 평택시 오성면(4122034000)","5,987","58","7","11","5","9","17","9","3,203","30","4","4","4","4","10","4","2,784","28","3","7","1","5","7","5"
"경기도 평택시 현덕면(4122037000)","15,865","863","184","172","125","130","119","133","8,305","444","102","85","62","65","64","66","7,560","419","82","87","63","65","55","67"
"경기도 평택시 중앙동(4122051000)","45,272","902","159","150","145","132","147","169","23,933","472","89","77","81","73","69","83","21,339","430","70","73","64","59","78","86"
"경기도 평택시 서정동(4122052000)","24,537","562","106","93","84","95","94","90","12,833","286","56","51","36","52","49","42","11,704","276","50","42","48","43","45","48"
"경기도 평택시 송탄동(4122053500)","25,172","1,611","299","272","274","272","256","238","13,069","810","146","137","137","146","130","114","12,103","801","153","135","137","126","126","124"
"경기도 평택시 지산동(4122055000)","12,157","175","25","24","39","26","27","34","6,902","79","13","7","16","14","15","14","5,255","96","12","17","23","12","12","20"
"경기도 평택시 송북동(4122056000)","20,334","408","65","68","69","62","67","77","10,263","210","34","34","41","30","33","38","10,071","198","31","34","28","32","34","39"
"경기도 평택시 신장1동(4122057000)","6,636","259","58","43","51","27","33","47","3,427","147","29","27","30","16","18","27","3,209","112","29","16","21","11","15","20"
"경기도 평택시 신장2동(4122058000)","4,581","52","10","11","6","10","6","9","2,555","31","6","7","2","4","6","6","2,026","21","4","4","4","6","0","3"
"경기도 평택시 신평동(4122059000)","19,418","295","55","44","53","49","50","44","10,394","150","23","25","26","25","28","23","9,024","145","32","19","27","24","22","21"
"경기도 평택시 원평동(4122060000)","12,627","383","96","73","72","46","53","43","6,766","202","51","40","39","27","26","19","5,861","181","45","33","33","19","27","24"
"경기도 평택시 통복동(4122061000)","6,745","427","89","96","64","65","63","50","3,533","225","37","55","41","28","33","31","3,212","202","52","41","23","37","30","19"
"경기도 평택시 비전1동(4122062000)","50,406","1,714","269","272","255","281","319","318","25,211","884","145","133","144","141","160","161","25,195","830","124","139","111","140","159","157"
"경기도 평택시 비전2동(4122063000)","55,821","2,411","379","377","381","405","419","450","27,482","1,213","179","205","189","198","206","236","28,339","1,198","200","172","192","207","213","214"
"경기도 평택시 용이동(4122063500)","25,412","1,008","141","151","155","175","173","213","13,568","523","62","89","79","99","88","106","11,844","485","79","62","76","76","85","107"
"경기도 평택시 세교동(4122064000)","37,460","1,957","388","309","283","303","361","313","19,056","991","207","149","147","146","197","145","18,404","966","181","160","136","157","164","168"
"경기도 평택시 동삭동(4122065000)","43,388","3,019","574","524","483","491","468","479","22,735","1,553","316","258","239","249","243","248","20,653","1,466","258","266","244","242","225","231"
"경기도 평택시 고덕동(4122066000)","66,327","6,448","1,164","1,172","997","1,038","1,029","1,048","35,146","3,276","599","610","511","534","495","527","31,181","3,172","565","562","486","504","534","521"
"경기도 송탄출장소 (4122200000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 안중출장소 (4122400000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 동두천시 (4125000000)","86,265","1,725","278","294","239","293","298","323","42,973","887","138","157","134","139","162","157","43,292","838","140","137","105","154","136","166"
"경기도 동두천시 생연1동(4125051000)","5,982","84","10","8","15","18","20","13","3,026","46","3","4","9","7","12","11","2,956","38","7","4","6","11","8","2"
"경기도 동두천시 생연2동(4125052000)","10,465","212","32","43","28","37","35","37","5,087","100","16","19","18","13","18","16","5,378","112","16","24","10","24","17","21"
"경기도 동두천시 중앙동(4125053500)","4,240","58","7","11","6","9","14","11","2,174","27","4","4","3","5","7","4","2,066","31","3","7","3","4","7","7"
"경기도 동두천시 보산동(4125055000)","2,503","29","7","1","4","7","7","3","1,260","12","2","0","2","2","5","1","1,243","17","5","1","2","5","2","2"
"경기도 동두천시 불현동(4125056500)","25,096","530","77","91","73","91","99","99","12,360","273","37","48","41","43","51","53","12,736","257","40","43","32","48","48","46"
"경기도 동두천시 송내동(4125056600)","25,461","581","107","88","81","100","88","117","12,425","312","60","57","42","51","49","53","13,036","269","47","31","39","49","39","64"
"경기도 동두천시 소요동(4125058000)","8,051","122","16","27","17","19","19","24","4,224","67","8","16","12","9","11","11","3,827","55","8","11","5","10","8","13"
"경기도 동두천시 상패동(4125060000)","4,467","109","22","25","15","12","16","19","2,417","50","8","9","7","9","9","8","2,050","59","14","16","8","3","7","11"
"경기도 안산시 (4127000000)","609,240","15,299","2,697","2,572","2,301","2,473","2,570","2,686","312,005","7,744","1,339","1,303","1,188","1,242","1,287","1,385","297,235","7,555","1,358","1,269","1,113","1,231","1,283","1,301"
"경기도 안산시 상록구 (4127100000)","320,773","6,943","1,203","1,169","976","1,138","1,183","1,274","163,776","3,503","589","592","510","572","602","638","156,997","3,440","614","577","466","566","581","636"
"경기도 안산시 상록구 일동(4127151000)","22,086","424","58","69","60","72","84","81","11,299","201","29","34","24","37","42","35","10,787","223","29","35","36","35","42","46"
"경기도 안산시 상록구 이동(4127151500)","22,230","297","55","57","37","43","43","62","12,127","146","27","27","19","25","19","29","10,103","151","28","30","18","18","24","33"
"경기도 안산시 상록구 사동(4127152500)","28,697","519","118","86","77","79","82","77","15,156","254","55","43","35","37","43","41","13,541","265","63","43","42","42","39","36"
"경기도 안산시 상록구 사이동(4127153200)","29,510","652","110","121","89","104","108","120","14,924","337","53","59","54","54","53","64","14,586","315","57","62","35","50","55","56"
"경기도 안산시 상록구 해양동(4127153700)","39,152","1,403","186","211","189","243","275","299","19,579","719","80","125","100","133","139","142","19,573","684","106","86","89","110","136","157"
"경기도 안산시 상록구 본오1동(4127154000)","33,820","614","105","100","83","100","123","103","17,529","306","49","59","40","45","59","54","16,291","308","56","41","43","55","64","49"
"경기도 안산시 상록구 본오2동(4127155000)","23,639","436","75","85","48","84","69","75","11,673","210","33","43","22","41","31","40","11,966","226","42","42","26","43","38","35"
"경기도 안산시 상록구 본오3동(4127156000)","17,620","276","48","38","44","46","48","52","8,795","146","25","10","27","24","31","29","8,825","130","23","28","17","22","17","23"
"경기도 안산시 상록구 부곡동(4127157000)","19,691","366","62","45","68","55","59","77","10,138","185","35","22","39","21","29","39","9,553","181","27","23","29","34","30","38"
"경기도 안산시 상록구 월피동(4127158000)","34,601","671","129","119","96","100","113","114","17,716","356","77","57","56","52","58","56","16,885","315","52","62","40","48","55","58"
"경기도 안산시 상록구 성포동(4127159000)","23,972","694","140","124","102","112","103","113","11,691","347","66","56","51","58","59","57","12,281","347","74","68","51","54","44","56"
"경기도 안산시 상록구 반월동(4127160000)","17,778","475","98","100","66","76","59","76","8,952","249","55","50","35","33","34","42","8,826","226","43","50","31","43","25","34"
"경기도 안산시 상록구 안산동(4127161000)","7,977","116","19","14","17","24","17","25","4,197","47","5","7","8","12","5","10","3,780","69","14","7","9","12","12","15"
"경기도 안산시 단원구 (4127300000)","288,467","8,356","1,494","1,403","1,325","1,335","1,387","1,412","148,229","4,241","750","711","678","670","685","747","140,238","4,115","744","692","647","665","702","665"
"경기도 안산시 단원구 와동(4127351000)","34,758","746","102","120","117","132","128","147","18,576","379","53","64","69","59","54","80","16,182","367","49","56","48","73","74","67"
"경기도 안산시 단원구 고잔동(4127352500)","19,414","361","61","65","48","65","68","54","9,618","189","27","33","25","30","40","34","9,796","172","34","32","23","35","28","20"
"경기도 안산시 단원구 중앙동(4127353200)","23,517","690","140","136","95","109","98","112","11,670","342","80","68","41","53","42","58","11,847","348","60","68","54","56","56","54"
"경기도 안산시 단원구 호수동(4127353500)","41,488","1,300","199","170","215","216","241","259","20,925","674","100","89","104","110","129","142","20,563","626","99","81","111","106","112","117"
"경기도 안산시 단원구 원곡동(4127354500)","5,377","65","9","8","9","15","7","17","3,037","32","3","4","4","6","6","9","2,340","33","6","4","5","9","1","8"
"경기도 안산시 단원구 백운동(4127355500)","23,709","1,205","266","218","185","174","198","164","11,862","632","141","108","92","94","108","89","11,847","573","125","110","93","80","90","75"
"경기도 안산시 단원구 신길동(4127356500)","20,231","409","73","44","69","69","64","90","10,807","206","35","23","30","43","27","48","9,424","203","38","21","39","26","37","42"
"경기도 안산시 단원구 초지동(4127357000)","46,057","1,564","298","280","268","244","242","232","23,539","789","151","137","149","125","115","112","22,518","775","147","143","119","119","127","120"
"경기도 안산시 단원구 선부1동(4127358000)","16,491","581","114","103","93","98","94","79","8,378","289","53","54","49","45","39","49","8,113","292","61","49","44","53","55","30"
"경기도 안산시 단원구 선부2동(4127359000)","16,950","610","106","106","93","94","104","107","9,000","287","51","46","54","46","48","42","7,950","323","55","60","39","48","56","65"
"경기도 안산시 단원구 선부3동(4127360000)","31,323","720","110","140","122","100","119","129","16,077","361","47","77","55","48","65","69","15,246","359","63","63","67","52","54","60"
"경기도 안산시 단원구 대부동(4127361000)","9,152","105","16","13","11","19","24","22","4,740","61","9","8","6","11","12","15","4,412","44","7","5","5","8","12","7"
"경기도 고양시 (4128000000)","1,057,438","32,323","5,746","5,324","4,855","5,274","5,519","5,605","513,999","16,596","2,991","2,777","2,523","2,674","2,783","2,848","543,439","15,727","2,755","2,547","2,332","2,600","2,736","2,757"
"경기도 고양시 덕양구 (4128100000)","483,048","16,731","3,058","2,779","2,518","2,662","2,864","2,850","236,436","8,578","1,603","1,447","1,278","1,359","1,442","1,449","246,612","8,153","1,455","1,332","1,240","1,303","1,422","1,401"
"경기도 고양시 덕양구 주교동(4128151000)","10,113","133","13","22","18","29","29","22","5,255","73","4","12","10","18","17","12","4,858","60","9","10","8","11","12","10"
"경기도 고양시 덕양구 원신동(4128152000)","22,278","882","128","132","145","122","190","165","10,581","430","74","70","74","56","92","64","11,697","452","54","62","71","66","98","101"
"경기도 고양시 덕양구 흥도동(4128153000)","29,367","1,099","174","165","164","200","188","208","14,445","569","97","91","85","95","98","103","14,922","530","77","74","79","105","90","105"
"경기도 고양시 덕양구 성사1동(4128154000)","23,675","702","141","137","114","117","93","100","11,776","376","78","80","58","59","44","57","11,899","326","63","57","56","58","49","43"
"경기도 고양시 덕양구 성사2동(4128155000)","10,101","156","26","30","16","32","27","25","4,813","76","12","16","5","16","14","13","5,288","80","14","14","11","16","13","12"
"경기도 고양시 덕양구 효자동(4128156000)","26,307","1,922","304","271","281","298","373","395","12,816","943","159","134","132","140","183","195","13,491","979","145","137","149","158","190","200"
"경기도 고양시 덕양구 삼송1동(4128157600)","22,180","1,105","218","200","164","167","186","170","10,606","594","131","100","84","84","106","89","11,574","511","87","100","80","83","80","81"
"경기도 고양시 덕양구 삼송2동(4128157700)","27,866","1,166","222","200","189","198","191","166","12,784","587","101","104","97","107","99","79","15,082","579","121","96","92","91","92","87"
"경기도 고양시 덕양구 창릉동(4128158000)","22,708","1,457","319","290","219","230","221","178","11,005","748","168","158","105","108","119","90","11,703","709","151","132","114","122","102","88"
"경기도 고양시 덕양구 고양동(4128159000)","26,927","512","76","74","85","86","100","91","13,504","249","36","33","40","40","54","46","13,423","263","40","41","45","46","46","45"
"경기도 고양시 덕양구 관산동(4128160000)","32,905","445","72","67","59","62","82","103","16,674","221","39","29","29","31","37","56","16,231","224","33","38","30","31","45","47"
"경기도 고양시 덕양구 능곡동(4128161000)","16,886","552","108","93","97","84","81","89","8,508","310","62","53","50","48","41","56","8,378","242","46","40","47","36","40","33"
"경기도 고양시 덕양구 화정1동(4128162100)","34,696","641","161","98","100","80","101","101","16,770","328","88","40","53","42","48","57","17,926","313","73","58","47","38","53","44"
"경기도 고양시 덕양구 화정2동(4128162200)","31,254","956","204","167","144","130","166","145","15,004","472","92","87","74","63","79","77","16,250","484","112","80","70","67","87","68"
"경기도 고양시 덕양구 행주동(4128163000)","11,690","160","31","30","22","28","21","28","6,177","87","18","16","16","11","8","18","5,513","73","13","14","6","17","13","10"
"경기도 고양시 덕양구 행신1동(4128164000)","19,679","546","99","97","94","102","82","72","9,523","299","50","58","48","57","48","38","10,156","247","49","39","46","45","34","34"
